videoId,title,lengthSeconds,channelId,author,keywords,publish_date,thumbnail,official
https://youtu.be/KMYpa0nBQO0,🔴LIVE【貓耳日麻 MP07】 🀄️一番街 1位王大會  (沒有設置延遲)【麻雀一番街 Riichi City】,13807,UCJyUJuz8L-mu1Ted8W-QR_Q,貓耳 Nekomix Ch.,"正太, 類知識V, 遊戲, 華文v, 中文vtuber, vtuber中文, 中文v, vtuber, 個人勢, 新人vtuber, 新人v, hkvtuber, twvtuber, 台灣vtuber, 香港vtuber, 正太v, 华文vtuber, 個人勢 v, hk vtuber, 华文 vs 中文, 雜談, 貓耳亂播, 中文Vtuber, NekomixLIVE, 貓耳未來, Nekomix, 新年快樂, 貓耳日麻, RiichiCity, 麻雀一番街",2022-02-06,https://i.ytimg.com/vi/KMYpa0nBQO0/mqdefault.jpg?v=61fcd277,TRUE
https://youtu.be/EBODpp7KdCY,🔴LIVE【貓耳聯動】🧧新春正月企劃 | 年初四 立春 | 文化大交流 (第11回: 新春主題)  ft. 中文Vtuber 【🎨Gartic Phone 繪圖接龍/ 電話遊戲】,9755,UCJyUJuz8L-mu1Ted8W-QR_Q,貓耳 Nekomix Ch.,"虛擬生命體, 正太, 類知識V, 遊戲, 貓耳亂播, 華文v, 中文vtuber, vtuber中文, 中文v, vtuber, 個人勢, 新人vtuber, 新人v, hkvtuber, twvtuber, 台灣vtuber, 香港vtuber, 貓耳聯動, 馬來西亞vtuber, Gartic Phone, garticphone, 電話遊戲, 文化, culture, 正太v, 华文vtuber, 個人勢 v, hk vtuber, 华文 vs 中文, Game, 文化大交流, 新春, 中文Vtuber, 繪圖接龍, 傳話遊戲, 貓耳未來, 新年, NewYear, 初四, 立春",2022-02-04,https://i.ytimg.com/vi/EBODpp7KdCY/mqdefault.jpg?v=61fc3e01,TRUE
https://youtu.be/_FX5tPv3W4A,🔴LIVE【🎮貓耳亂播】新的冒險要來了 先選哪隻好 （＞人＜；）【寶可夢傳說 阿爾宙斯 Pokémon Legends: Arceus】,19705,UCJyUJuz8L-mu1Ted8W-QR_Q,貓耳 Nekomix Ch.,"正太, 類知識V, 遊戲, 華文v, 中文vtuber, vtuber中文, 中文v, vtuber, 個人勢, 新人vtuber, 新人v, hkvtuber, twvtuber, 台灣vtuber, 香港vtuber, 正太v, 华文vtuber, 個人勢 v, hk vtuber, 华文 vs 中文, 雜談, 貓耳亂播, 中文Vtuber, NekomixLIVE, 貓耳未來, Nekomix, 貓耳隨意玩, 台V, 過年, 新春, Pokemon, 阿爾宙斯, 寶可夢傳說, Arceus, 寶可夢, ポケットモンスター",2022-02-02,https://i.ytimg.com/vi/_FX5tPv3W4A/mqdefault.jpg?v=61f9949f,TRUE
https://youtu.be/FNywtIxRgc8,🔴LIVE【🀄️貓耳日麻 MP06】新春正月企劃 | 突發小雜談 + 🧧 過年了 ヾ(•ω•`)o   衝等 + 新春跨年 x 觀眾同樂場 【雀魂 Mahjong Soul + 一番街】,13502,UCJyUJuz8L-mu1Ted8W-QR_Q,貓耳 Nekomix Ch.,"正太, 類知識V, 遊戲, 華文v, 中文vtuber, vtuber中文, 中文v, vtuber, 個人勢, 新人vtuber, 新人v, hkvtuber, twvtuber, 台灣vtuber, 香港vtuber, 正太v, 华文vtuber, 個人勢 v, hk vtuber, 华文 vs 中文, 雜談, 貓耳亂播, 中文Vtuber, NekomixLIVE, 貓耳未來, Nekomix, 貓耳日麻, 雀魂, 麻雀, 貓耳隨意玩, 台V, 過年, 新春, 跨年, 觀眾場",2022-01-31,https://i.ytimg.com/vi/FNywtIxRgc8/mqdefault.jpg?v=61f6ee7a,TRUE
https://youtu.be/Ewh23wep3dM,🔴LIVE【貓耳日麻 MP05】(粵語場合) 來這邊衝等了ヾ(•ω•`)o 感覺這邊難度很高w  | 練習日 Day 1【🀄️麻雀一番街 Riichi City】,7610,UCJyUJuz8L-mu1Ted8W-QR_Q,貓耳 Nekomix Ch.,"正太, 類知識V, 遊戲, 華文v, 中文vtuber, vtuber中文, 中文v, vtuber, 個人勢, 新人vtuber, 新人v, hkvtuber, twvtuber, 台灣vtuber, 香港vtuber, 正太v, 华文vtuber, 個人勢 v, hk vtuber, 华文 vs 中文, 雜談, 貓耳亂播, 中文Vtuber, NekomixLIVE, Nekomix, 新年快樂, 貓耳日麻, RiichiCity, 麻雀一番街, 粵語場合, 貓耳希望",2022-01-25,https://i.ytimg.com/vi/Ewh23wep3dM/mqdefault.jpg?v=61ef93af,TRUE
https://youtu.be/kKCpHWxTHg0,🔴LIVE【🀄️貓耳日麻 MP04】雖然晉不了級 也不會完全磨滅貓耳的意志 ヾ(•ω•`)o   衝等 + 觀眾場 【雀魂 Mahjong Soul】,15894,UCJyUJuz8L-mu1Ted8W-QR_Q,貓耳 Nekomix Ch.,"正太, 類知識V, 遊戲, 華文v, 中文vtuber, vtuber中文, 中文v, vtuber, 個人勢, 新人vtuber, 新人v, hkvtuber, twvtuber, 台灣vtuber, 香港vtuber, 正太v, 华文vtuber, 個人勢 v, hk vtuber, 华文 vs 中文, 雜談, 貓耳亂播, 中文Vtuber, NekomixLIVE, 貓耳未來, Nekomix, 貓耳日麻, 雀魂, 麻雀",2022-01-24,https://i.ytimg.com/vi/kKCpHWxTHg0/mqdefault.jpg?v=61ee83d0,TRUE
https://youtu.be/WacR1XNTnUA,🔴LIVE【貓耳日麻 MP03】 預選 Day 2 🀄️「麻雀一番街」實況主應援大賽 (5分鐘延遲)【Riichi City】,23496,UCJyUJuz8L-mu1Ted8W-QR_Q,貓耳 Nekomix Ch.,"正太, 類知識V, 遊戲, 華文v, 中文vtuber, vtuber中文, 中文v, vtuber, 個人勢, 新人vtuber, 新人v, hkvtuber, twvtuber, 台灣vtuber, 香港vtuber, 正太v, 华文vtuber, 個人勢 v, hk vtuber, 华文 vs 中文, 雜談, 貓耳亂播, 中文Vtuber, NekomixLIVE, 貓耳未來, Nekomix, 新年快樂, 貓耳日麻, RiichiCity, 麻雀一番街",2022-01-23,https://i.ytimg.com/vi/WacR1XNTnUA/mqdefault.jpg?v=61ecce51,TRUE
https://youtu.be/zAbbSDxa8qg,🔴LIVE【貓耳聯動 EP.121】說錯語言要罰 包尾也是喔 ft. 奈爾. 翔太悠一. 雪骨小白 | 多語言 UNO【桌遊 UNO】,14542,UCJyUJuz8L-mu1Ted8W-QR_Q,貓耳 Nekomix Ch.,"虛擬生命體, 正太, 類知識V, 遊戲, 貓耳亂播, 華文v, 中文vtuber, vtuber中文, 中文v, vtuber, 個人勢, 新人vtuber, 新人v, hkvtuber, twvtuber, 台灣vtuber, 香港vtuber, 貓耳聯動, 馬來西亞vtuber, 正太v, 华文vtuber, 個人勢 v, hk vtuber, 华文 vs 中文, Game, 中文Vtuber, 貓耳未來, 粵語場合, 貓耳希望, NekomixLIVE, Nekomix, 桌遊, UNO, 多語言",2022-01-22,https://i.ytimg.com/vi/zAbbSDxa8qg/mqdefault.jpg?v=61eb1969,TRUE
https://youtu.be/lBJKMEuf3oQ,🔴LIVE【貓耳日麻 MP02】 預選 Day 1 🀄️「麻雀一番街」實況主應援大賽 (5分鐘延遲)【Riichi City】,15237,UCJyUJuz8L-mu1Ted8W-QR_Q,貓耳 Nekomix Ch.,"正太, 類知識V, 遊戲, 華文v, 中文vtuber, vtuber中文, 中文v, vtuber, 個人勢, 新人vtuber, 新人v, hkvtuber, twvtuber, 台灣vtuber, 香港vtuber, 正太v, 华文vtuber, 個人勢 v, hk vtuber, 华文 vs 中文, 雜談, 貓耳亂播, 中文Vtuber, NekomixLIVE, 貓耳未來, Nekomix, 新年快樂, 貓耳日麻, RiichiCity, 麻雀一番街",2022-01-22,https://i.ytimg.com/vi/lBJKMEuf3oQ/mqdefault.jpg?v=61e7fbb9,TRUE
https://youtu.be/nAN2ZoTxbsw,《講你知123！》(Very Short ver.)【歌ってみた】【Nekomix 貓耳試唱/ HKVtuber + TWVtuber】,56,UCJyUJuz8L-mu1Ted8W-QR_Q,貓耳 Nekomix Ch.,,2022-01-21,https://i.ytimg.com/vi/nAN2ZoTxbsw/mqdefault.jpg,TRUE
